"Package","Version","citation"
"clipr","0.8.0","To cite package ‘clipr’ in publications use:    Lincoln M (2022). _clipr: Read and Write from the System Clipboard_. R package version   0.8.0, http://matthewlincoln.net/clipr/, <https://github.com/mdlincoln/clipr>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {clipr: Read and Write from the System Clipboard},     author = {Matthew Lincoln},     year = {2022},     note = {R package version 0.8.0,  http://matthewlincoln.net/clipr/},     url = {https://github.com/mdlincoln/clipr},   }"
"clue","0.3-67","To cite package ‘clue’ in publications use:    Hornik K (2026). _clue: Cluster Ensembles_. R package version 0.3-67,   <https://CRAN.R-project.org/package=clue>.    Hornik K (2005). “A CLUE for CLUster Ensembles.” _Journal of Statistical Software_,   *14*(12). doi:10.18637/jss.v014.i12 <https://doi.org/10.18637/jss.v014.i12>.  To see these entries in BibTeX format, use 'print(<citation>, bibtex=TRUE)', 'toBibtex(.)', or set 'options(citation.bibtex.max=999)'."
"colorspace","2.1-1","To cite colorspace in publications use:    Zeileis A, Fisher JC, Hornik K, Ihaka R, McWhite CD, Murrell P, Stauffer R, Wilke CO (2020).   “colorspace: A Toolbox for Manipulating and Assessing Colors and Palettes.” _Journal of   Statistical Software_, *96*(1), 1-49. doi:10.18637/jss.v096.i01   <https://doi.org/10.18637/jss.v096.i01>.  If you use HCL-based color palettes, please cite:    Zeileis A, Hornik K, Murrell P (2009). “Escaping RGBland: Selecting Colors for Statistical   Graphics.” _Computational Statistics & Data Analysis_, *53*(9), 3259-3270.   doi:10.1016/j.csda.2008.11.033 <https://doi.org/10.1016/j.csda.2008.11.033>.  If you use HCL-based color palettes in meteorological visualizations, please cite:    Stauffer R, Mayr GJ, Dabernig M, Zeileis A (2009). “Somewhere over the Rainbow: How to Make   Effective Use of Colors in Meteorological Visualizations.” _Bulletin of the American   Meteorological Society_, *96*(2), 203-216. doi:10.1175/BAMS-D-13-00155.1   <https://doi.org/10.1175/BAMS-D-13-00155.1>.  To see these entries in BibTeX format, use 'print(<citation>, bibtex=TRUE)', 'toBibtex(.)', or set 'options(citation.bibtex.max=999)'."
"commonmark","2.0.0","To cite package ‘commonmark’ in publications use:    Ooms J (2025). _commonmark: High Performance CommonMark and Github Markdown Rendering in R_.   R package version 2.0.0, <https://CRAN.R-project.org/package=commonmark>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {commonmark: High Performance CommonMark and Github Markdown Rendering in R},     author = {Jeroen Ooms},     year = {2025},     note = {R package version 2.0.0},     url = {https://CRAN.R-project.org/package=commonmark},   }"
"ComplexHeatmap","2.18.0","The methods within the code package can be cited as:    Gu, Z. (2016) Complex heatmaps reveal patterns and correlations in multidimensional genomic   data. Bioinformatics.    Gu, Z. (2022) Complex Heatmap Visualization. iMeta.  This free open-source software implements academic research by the authors and co-workers. If you use it, please support the project by citing the appropriate journal articles.  To see these entries in BibTeX format, use 'print(<citation>, bibtex=TRUE)', 'toBibtex(.)', or set 'options(citation.bibtex.max=999)'."
"compositions","2.0-9","To cite package ‘compositions’ in publications use:    van den Boogaart KG, Tolosana-Delgado R, Bren M (2025). _compositions: Compositional Data   Analysis_. R package version 2.0-9, <https://CRAN.R-project.org/package=compositions>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {compositions: Compositional Data Analysis},     author = {K. Gerald {van den Boogaart} and Raimon Tolosana-Delgado and Matevz Bren},     year = {2025},     note = {R package version 2.0-9},     url = {https://CRAN.R-project.org/package=compositions},   }"
"conflicted","1.2.0","To cite package ‘conflicted’ in publications use:    Wickham H (2023). _conflicted: An Alternative Conflict Resolution Strategy_. R package   version 1.2.0, https://github.com/r-lib/conflicted, <https://conflicted.r-lib.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {conflicted: An Alternative Conflict Resolution Strategy},     author = {Hadley Wickham},     year = {2023},     note = {R package version 1.2.0, https://github.com/r-lib/conflicted},     url = {https://conflicted.r-lib.org/},   }"
"corpcor","1.6.10","To cite package ‘corpcor’ in publications use:    Schafer J, Opgen-Rhein R, Zuber V, Ahdesmaki M, Silva APD, Strimmer. K (2021). _corpcor:   Efficient Estimation of Covariance and (Partial) Correlation_. R package version 1.6.10,   <https://CRAN.R-project.org/package=corpcor>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {corpcor: Efficient Estimation of Covariance and (Partial) Correlation},     author = {Juliane Schafer and Rainer Opgen-Rhein and Verena Zuber and Miika Ahdesmaki and A. Pedro Duarte Silva and Korbinian Strimmer.},     year = {2021},     note = {R package version 1.6.10},     url = {https://CRAN.R-project.org/package=corpcor},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"corrplot","0.95","To cite corrplot in publications use:    Taiyun Wei and Viliam Simko (2024). R package 'corrplot': Visualization of a Correlation   Matrix (Version 0.95). Available from https://github.com/taiyun/corrplot  A BibTeX entry for LaTeX users is    @Manual{corrplot2024,     title = {R package 'corrplot': Visualization of a Correlation Matrix},     author = {Taiyun Wei and Viliam Simko},     year = {2024},     note = {(Version 0.95)},     url = {https://github.com/taiyun/corrplot},   }"
"cowplot","1.2.0","To cite package ‘cowplot’ in publications use:    Wilke C (2025). _cowplot: Streamlined Plot Theme and Plot Annotations for 'ggplot2'_. R   package version 1.2.0, <https://CRAN.R-project.org/package=cowplot>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {cowplot: Streamlined Plot Theme and Plot Annotations for 'ggplot2'},     author = {Claus O. Wilke},     year = {2025},     note = {R package version 1.2.0},     url = {https://CRAN.R-project.org/package=cowplot},   }"
